Model,TBS2104X
Firmware Version,v1.31.14

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.02,,,
Sample Interval,1.6e-05,,,
Filter Frequency,2e+08,,,
Record Length,20000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,A
Vertical Offset,0,0,0,0
Vertical Scale,1,1,1,0.05
Label,,,,
TIME,CH1,CH2,CH3,CH4
-1.6419e-01,0.83,0.36,0.35,0.0155
-1.6418e-01,0.79,0.36,0.39,0.0155
-1.6416e-01,0.79,0.32,0.35,0.0155
-1.6414e-01,0.79,0.36,0.39,0.0175
-1.6413e-01,0.79,0.36,0.35,0.0135
-1.6411e-01,0.79,0.36,0.35,0.0155
-1.6410e-01,0.83,0.4,0.35,0.0155
-1.6408e-01,0.83,0.36,0.35,0.0155
-1.6406e-01,0.79,0.32,0.35,0.0135
-1.6405e-01,0.79,0.36,0.35,0.0155
-1.6403e-01,0.79,0.36,0.51,0.0175
-1.6402e-01,0.79,0.36,0.51,0.0235
-1.6400e-01,0.83,0.36,0.47,0.0155
-1.6398e-01,0.79,0.36,0.39,0.0215
-1.6397e-01,0.79,0.36,0.35,0.0155
-1.6395e-01,0.79,0.36,0.35,0.0135
-1.6394e-01,0.79,0.36,0.35,0.0115
-1.6392e-01,0.79,0.36,0.35,0.0135
-1.6390e-01,0.79,0.36,0.39,0.0155
-1.6389e-01,0.79,0.36,0.39,0.0155
-1.6387e-01,0.83,0.4,0.35,0.0155
-1.6386e-01,0.79,0.36,0.39,0.0155
-1.6384e-01,0.79,0.4,0.35,0.0155
-1.6382e-01,0.79,0.36,0.35,0.0155
-1.6381e-01,0.83,0.36,0.35,0.0155
-1.6379e-01,0.79,0.36,0.39,0.0155
-1.6378e-01,0.79,0.36,0.35,0.0135
-1.6376e-01,0.79,0.4,0.39,0.0155
-1.6374e-01,0.79,0.36,0.39,0.0155
-1.6373e-01,0.79,0.4,0.35,0.0155
-1.6371e-01,0.79,0.36,0.35,0.0155
-1.6370e-01,0.79,0.36,0.35,0.0155
-1.6368e-01,0.79,0.36,0.35,0.0155
-1.6366e-01,0.79,0.36,0.39,0.0155
-1.6365e-01,0.79,0.36,0.35,0.0175
-1.6363e-01,0.79,0.36,0.35,0.0155
-1.6362e-01,0.83,0.36,0.35,0.0155
-1.6360e-01,0.83,0.36,0.35,0.0155
