Model,TBS2104X
Firmware Version,v1.31.14

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.02,,,
Sample Interval,1.6e-05,,,
Filter Frequency,2e+08,,,
Record Length,20000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,A
Vertical Offset,0,0,0,0
Vertical Scale,1,1,1,0.05
Label,,,,
TIME,CH1,CH2,CH3,CH4
-1.0539e-01,0.79,0.36,0.39,0.0155
-1.0538e-01,0.83,0.36,0.39,0.0155
-1.0536e-01,0.79,0.32,0.35,0.0155
-1.0534e-01,0.79,0.36,0.39,0.0155
-1.0533e-01,0.79,0.36,0.35,0.0155
-1.0531e-01,0.83,0.36,0.39,0.0155
-1.0530e-01,0.79,0.36,0.23,0.0155
-1.0528e-01,0.83,0.36,0.23,0.0055
-1.0526e-01,0.83,0.32,0.23,0.0135
-1.0525e-01,0.79,0.36,0.23,0.0095
-1.0523e-01,0.79,0.36,0.23,0.0095
-1.0522e-01,0.79,0.36,0.23,0.0115
-1.0520e-01,0.83,0.36,0.23,0.0095
-1.0518e-01,0.79,0.32,0.19,0.0095
-1.0517e-01,0.79,0.36,0.23,0.0095
-1.0515e-01,0.79,0.4,0.23,0.0095
-1.0514e-01,0.79,0.36,0.23,0.0095
-1.0512e-01,0.79,0.4,0.23,0.0095
-1.0510e-01,0.79,0.36,0.19,0.0095
-1.0509e-01,0.79,0.36,0.23,0.0095
-1.0507e-01,0.79,0.36,0.23,0.0095
-1.0506e-01,0.79,0.36,0.19,0.0095
-1.0504e-01,0.79,0.36,0.27,0.0095
-1.0502e-01,0.79,0.36,0.23,0.0095
-1.0501e-01,0.83,0.36,0.23,0.0095
-1.0499e-01,0.79,0.36,0.23,0.0095
-1.0498e-01,0.79,0.4,0.23,0.0095
-1.0496e-01,0.79,0.32,0.23,0.0115
-1.0494e-01,0.79,0.36,0.23,0.0095
-1.0493e-01,0.79,0.36,0.19,0.0075
-1.0491e-01,0.79,0.36,0.23,0.0095
-1.0490e-01,0.79,0.4,0.23,0.0115
-1.0488e-01,0.79,0.36,0.23,0.0075
-1.0486e-01,0.83,0.36,0.23,0.0115
-1.0485e-01,0.79,0.32,0.23,0.0095
-1.0483e-01,0.79,0.32,0.23,0.0075
-1.0482e-01,0.79,0.4,0.23,0.0095
-1.0480e-01,0.79,0.36,0.19,0.0115
-1.0478e-01,0.83,0.36,0.23,0.0075
-1.0477e-01,0.79,0.36,0.23,0.0095
-1.0475e-01,0.79,0.36,0.23,0.0095
-1.0474e-01,0.83,0.36,0.23,0.0095
-1.0472e-01,0.79,0.36,0.23,0.0095
-1.0470e-01,0.79,0.36,0.23,0.0095
-1.0469e-01,0.83,0.36,0.23,0.0095
-1.0467e-01,0.79,0.36,0.23,0.0095
-1.0466e-01,0.83,0.36,0.23,0.0095
-1.0464e-01,0.79,0.36,0.23,0.0095
-1.0462e-01,0.83,0.36,0.23,0.0095
-1.0461e-01,0.83,0.36,0.23,0.0095
-1.0459e-01,0.79,0.36,0.23,0.0095
-1.0458e-01,0.79,0.36,0.23,0.0075
-1.0456e-01,0.83,0.36,0.23,0.0095
-1.0454e-01,0.83,0.36,0.23,0.0095
-1.0453e-01,0.83,0.36,0.39,0.0115
-1.0451e-01,0.79,0.36,0.39,0.0115
-1.0450e-01,0.79,0.36,0.35,0.0195
-1.0448e-01,0.79,0.36,0.39,0.0135
-1.0446e-01,0.79,0.36,0.35,0.0155
-1.0445e-01,0.79,0.32,0.39,0.0155
-1.0443e-01,0.79,0.36,0.39,0.0155
-1.0442e-01,0.79,0.36,0.39,0.0155
-1.0440e-01,0.79,0.36,0.35,0.0155
-1.0438e-01,0.79,0.32,0.35,0.0155
-1.0437e-01,0.79,0.36,0.39,0.0155
-1.0435e-01,0.79,0.36,0.35,0.0155
-1.0434e-01,0.79,0.36,0.39,0.0155
-1.0432e-01,0.83,0.36,0.39,0.0135
-1.0430e-01,0.83,0.32,0.35,0.0155
-1.0429e-01,0.79,0.36,0.39,0.0155
-1.0427e-01,0.79,0.36,0.35,0.0155
-1.0426e-01,0.83,0.36,0.39,0.0155
-1.0424e-01,0.79,0.36,0.39,0.0155
-1.0422e-01,0.79,0.36,0.39,0.0155
-1.0421e-01,0.79,0.36,0.39,0.0155
-1.0419e-01,0.79,0.36,0.35,0.0155
-1.0418e-01,0.79,0.36,0.39,0.0155
-1.0416e-01,0.75,0.36,0.35,0.0155
-1.0414e-01,0.83,0.36,0.39,0.0155
-1.0413e-01,0.79,0.36,0.39,0.0155
-1.0411e-01,0.79,0.36,0.35,0.0135
-1.0410e-01,0.79,0.36,0.39,0.0155
-1.0408e-01,0.79,0.4,0.35,0.0155
-1.0406e-01,0.79,0.36,0.35,0.0155
-1.0405e-01,0.79,0.36,0.39,0.0155
-1.0403e-01,0.83,0.36,0.51,0.0255
-1.0402e-01,0.79,0.32,0.51,0.0135
-1.0400e-01,0.79,0.36,0.51,0.0195
-1.0398e-01,0.79,0.36,0.39,0.0195
-1.0397e-01,0.79,0.32,0.35,0.0095
-1.0395e-01,0.79,0.36,0.39,0.0155
-1.0394e-01,0.79,0.36,0.39,0.0135
-1.0392e-01,0.79,0.36,0.39,0.0155
-1.0390e-01,0.79,0.32,0.39,0.0155
-1.0389e-01,0.79,0.36,0.39,0.0155
-1.0387e-01,0.83,0.36,0.39,0.0155
-1.0386e-01,0.79,0.4,0.39,0.0155
-1.0384e-01,0.79,0.32,0.39,0.0155
-1.0382e-01,0.79,0.36,0.35,0.0135
-1.0381e-01,0.79,0.36,0.39,0.0155
-1.0379e-01,0.79,0.36,0.39,0.0155
-1.0378e-01,0.79,0.36,0.39,0.0155
-1.0376e-01,0.79,0.32,0.39,0.0155
-1.0374e-01,0.79,0.32,0.39,0.0155
-1.0373e-01,0.79,0.36,0.35,0.0155
-1.0371e-01,0.79,0.36,0.35,0.0115
-1.0370e-01,0.83,0.36,0.39,0.0155
-1.0368e-01,0.79,0.36,0.35,0.0155
-1.0366e-01,0.79,0.36,0.39,0.0155
-1.0365e-01,0.83,0.36,0.39,0.0155
-1.0363e-01,0.79,0.36,0.39,0.0135
-1.0362e-01,0.83,0.36,0.35,0.0155
-1.0360e-01,0.79,0.36,0.35,0.0155
-1.0358e-01,0.83,0.36,0.39,0.0155
-1.0357e-01,0.79,0.36,0.39,0.0135
-1.0355e-01,0.79,0.36,0.35,0.0155
-1.0354e-01,0.79,0.36,0.39,0.0155
-1.0352e-01,0.79,0.36,0.39,0.0155
-1.0350e-01,0.79,0.36,0.35,0.0155
-1.0349e-01,0.79,0.36,0.23,0.0015
-1.0347e-01,0.83,0.36,0.23,0.0115
-1.0346e-01,0.79,0.36,0.23,0.0075
-1.0344e-01,0.79,0.36,0.23,0.0115
-1.0342e-01,0.83,0.36,0.23,0.0095
-1.0341e-01,0.79,0.36,0.23,0.0115
-1.0339e-01,0.79,0.36,0.23,0.0075
-1.0338e-01,0.79,0.36,0.23,0.0095
-1.0336e-01,0.79,0.36,0.23,0.0115
-1.0334e-01,0.79,0.36,0.19,0.0095
-1.0333e-01,0.79,0.32,0.19,0.0095
-1.0331e-01,0.79,0.36,0.23,0.0095
-1.0330e-01,0.79,0.36,0.23,0.0075
-1.0328e-01,0.79,0.32,0.23,0.0095
-1.0326e-01,0.79,0.36,0.19,0.0095
-1.0325e-01,0.79,0.36,0.23,0.0075
-1.0323e-01,0.79,0.36,0.23,0.0095
-1.0322e-01,0.79,0.36,0.23,0.0095
-1.0320e-01,0.79,0.32,0.23,0.0095
-1.0318e-01,0.79,0.36,0.23,0.0095
-1.0317e-01,0.79,0.36,0.19,0.0095
-1.0315e-01,0.83,0.36,0.23,0.0095
-1.0314e-01,0.79,0.32,0.23,0.0095
-1.0312e-01,0.79,0.36,0.19,0.0095
-1.0310e-01,0.79,0.32,0.23,0.0095
-1.0309e-01,0.79,0.36,0.23,0.0095
-1.0307e-01,0.79,0.36,0.19,0.0095
-1.0306e-01,0.79,0.36,0.23,0.0095
-1.0304e-01,0.79,0.36,0.19,0.0095
-1.0302e-01,0.79,0.36,0.19,0.0095
-1.0301e-01,0.79,0.32,0.23,0.0095
-1.0299e-01,0.79,0.32,0.23,0.0095
-1.0298e-01,0.79,0.36,0.23,0.0075
-1.0296e-01,0.79,0.36,0.23,0.0075
-1.0294e-01,0.79,0.36,0.23,0.0095
-1.0293e-01,0.79,0.36,0.23,0.0095
-1.0291e-01,0.79,0.36,0.23,0.0095
-1.0290e-01,0.79,0.36,0.23,0.0095
-1.0288e-01,0.79,0.36,0.23,0.0095
-1.0286e-01,0.79,0.36,0.19,0.0095
-1.0285e-01,0.79,0.4,0.23,0.0095
-1.0283e-01,0.79,0.4,0.23,0.0095
-1.0282e-01,0.79,0.36,0.23,0.0095
-1.0280e-01,0.79,0.36,0.23,0.0095
-1.0278e-01,0.79,0.36,0.35,0.0235
-1.0277e-01,0.79,0.32,0.39,0.0115
-1.0275e-01,0.79,0.36,0.35,0.0195
-1.0274e-01,0.79,0.36,0.39,0.0155
-1.0272e-01,0.79,0.32,0.39,0.0175
-1.0270e-01,0.79,0.36,0.35,0.0175
-1.0269e-01,0.79,0.36,0.39,0.0155
-1.0267e-01,0.79,0.36,0.39,0.0155
-1.0266e-01,0.79,0.32,0.35,0.0155
-1.0264e-01,0.79,0.36,0.35,0.0135
-1.0262e-01,0.79,0.36,0.35,0.0155
-1.0261e-01,0.79,0.36,0.39,0.0155
-1.0259e-01,0.79,0.32,0.35,0.0155
-1.0258e-01,0.79,0.36,0.39,0.0155
-1.0256e-01,0.83,0.36,0.35,0.0155
-1.0254e-01,0.83,0.32,0.39,0.0135
-1.0253e-01,0.79,0.36,0.35,0.0135
-1.0251e-01,0.83,0.36,0.35,0.0155
-1.0250e-01,0.79,0.36,0.35,0.0155
-1.0248e-01,0.79,0.4,0.35,0.0155
-1.0246e-01,0.79,0.36,0.39,0.0155
-1.0245e-01,0.79,0.36,0.35,0.0155
-1.0243e-01,0.79,0.36,0.39,0.0135
-1.0242e-01,0.79,0.36,0.39,0.0155
-1.0240e-01,0.79,0.32,0.35,0.0155
-1.0238e-01,0.79,0.32,0.39,0.0155
-1.0237e-01,0.83,0.36,0.39,0.0155
-1.0235e-01,0.79,0.32,0.39,0.0135
-1.0234e-01,0.79,0.36,0.35,0.0155
-1.0232e-01,0.79,0.36,0.35,0.0155
-1.0230e-01,0.83,0.4,0.39,0.0155
-1.0229e-01,0.79,0.36,0.35,0.0155
-1.0227e-01,0.79,0.36,0.39,0.0135
-1.0226e-01,0.83,0.36,0.39,0.0155
-1.0224e-01,0.79,0.36,0.35,0.0155
-1.0222e-01,0.79,0.32,0.39,0.0155
-1.0221e-01,0.83,0.36,0.39,0.0135
-1.0219e-01,0.79,0.36,0.35,0.0135
-1.0218e-01,0.79,0.36,0.35,0.0135
-1.0216e-01,0.79,0.36,0.39,0.0155
-1.0214e-01,0.79,0.36,0.39,0.0155
-1.0213e-01,0.79,0.36,0.35,0.0155
-1.0211e-01,0.79,0.36,0.35,0.0155
-1.0210e-01,0.79,0.36,0.39,0.0155
-1.0208e-01,0.79,0.36,0.35,0.0135
-1.0206e-01,0.83,0.36,0.39,0.0155
-1.0205e-01,0.79,0.32,0.39,0.0175
-1.0203e-01,0.79,0.36,0.39,0.0155
-1.0202e-01,0.79,0.32,0.39,0.0155
-1.0200e-01,0.79,0.36,0.35,0.0155
-1.0198e-01,0.83,0.36,0.35,0.0155
-1.0197e-01,0.79,0.36,0.39,0.0155
-1.0195e-01,0.79,0.4,0.35,0.0155
-1.0194e-01,0.43,0.32,0.11,0.0035
-1.0192e-01,0.39,0.36,0.07,0.0115
-1.0190e-01,0.35,0.36,0.11,0.0035
-1.0189e-01,0.35,0.36,0.11,0.0055
-1.0187e-01,0.39,0.36,0.11,0.0055
-1.0186e-01,0.39,0.36,0.07,0.0055
-1.0184e-01,0.39,0.36,0.11,0.0055
-1.0182e-01,0.39,0.36,0.11,0.0035
-1.0181e-01,0.39,0.36,0.11,0.0055
-1.0179e-01,0.39,0.36,0.07,0.0055
-1.0178e-01,0.39,0.36,0.11,0.0055
-1.0176e-01,0.39,0.36,0.07,0.0055
-1.0174e-01,0.39,0.36,0.11,0.0055
-1.0173e-01,0.39,0.36,0.11,0.0055
-1.0171e-01,0.35,0.36,0.07,0.0055
-1.0170e-01,0.39,0.32,0.11,0.0055
-1.0168e-01,0.39,0.32,0.11,0.0055
-1.0166e-01,0.39,0.36,0.07,0.0035
-1.0165e-01,0.39,0.4,0.11,0.0035
-1.0163e-01,0.39,0.36,0.07,0.0055
-1.0162e-01,0.39,0.36,0.07,0.0055
-1.0160e-01,0.39,0.36,0.07,0.0055
-1.0158e-01,0.39,0.36,0.11,0.0055
-1.0157e-01,0.39,0.32,0.07,0.0055
-1.0155e-01,0.39,0.36,0.11,0.0055
-1.0154e-01,0.39,0.32,0.11,0.0035
-1.0152e-01,0.35,0.36,0.11,0.0055
-1.0150e-01,0.39,0.36,0.07,0.0055
-1.0149e-01,0.43,0.36,0.07,0.0055
-1.0147e-01,0.39,0.36,0.11,0.0035
-1.0146e-01,0.39,0.4,0.07,0.0055
-1.0144e-01,0.39,0.36,0.11,0.0055
-1.0142e-01,0.35,0.36,0.11,0.0055
-1.0141e-01,0.39,0.36,0.11,0.0035
-1.0139e-01,0.39,0.36,0.07,0.0055
-1.0138e-01,0.39,0.36,0.11,0.0055
-1.0136e-01,0.39,0.36,0.11,0.0055
-1.0134e-01,0.39,0.36,0.11,0.0055
-1.0133e-01,0.39,0.36,0.11,0.0055
-1.0131e-01,0.43,0.32,0.11,0.0055
-1.0130e-01,0.39,0.36,0.11,0.0055
-1.0128e-01,0.39,0.36,0.11,0.0055
-1.0126e-01,0.39,0.36,0.11,0.0055
-1.0125e-01,0.39,0.36,0.11,0.0055
-1.0123e-01,0.39,0.32,0.11,0.0035
-1.0122e-01,0.39,0.36,0.11,0.0055
-1.0120e-01,0.39,0.36,0.11,0.0035
-1.0118e-01,0.79,0.36,0.39,0.0055
-1.0117e-01,0.79,0.36,0.39,0.0135
-1.0115e-01,0.83,0.36,0.35,0.0135
-1.0114e-01,0.79,0.36,0.39,0.0135
-1.0112e-01,0.79,0.36,0.39,0.0155
-1.0110e-01,0.79,0.36,0.39,0.0135
-1.0109e-01,0.83,0.36,0.39,0.0155
-1.0107e-01,0.79,0.32,0.35,0.0155
-1.0106e-01,0.79,0.36,0.39,0.0155
-1.0104e-01,0.79,0.32,0.35,0.0155
-1.0102e-01,0.79,0.36,0.35,0.0155
-1.0101e-01,0.79,0.36,0.39,0.0155
-1.0099e-01,0.83,0.36,0.39,0.0155
-1.0098e-01,0.83,0.36,0.39,0.0155
-1.0096e-01,0.79,0.4,0.39,0.0135
-1.0094e-01,0.79,0.36,0.39,0.0155
-1.0093e-01,0.79,0.4,0.39,0.0135
-1.0091e-01,0.79,0.36,0.39,0.0155
-1.0090e-01,0.83,0.36,0.39,0.0155
-1.0088e-01,0.79,0.36,0.39,0.0115
-1.0086e-01,0.79,0.4,0.39,0.0155
-1.0085e-01,0.79,0.36,0.35,0.0155
-1.0083e-01,0.79,0.36,0.39,0.0155
-1.0082e-01,0.79,0.36,0.39,0.0155
-1.0080e-01,0.79,0.32,0.35,0.0155
-1.0078e-01,0.83,0.32,0.35,0.0135
-1.0077e-01,0.83,0.4,0.39,0.0135
-1.0075e-01,0.79,0.36,0.39,0.0155
-1.0074e-01,0.79,0.36,0.19,0.0095
-1.0072e-01,0.79,0.36,0.23,0.0155
-1.0070e-01,0.79,0.36,0.23,0.0075
-1.0069e-01,0.79,0.36,0.23,0.0115
-1.0067e-01,0.83,0.36,0.23,0.0095
-1.0066e-01,0.79,0.32,0.23,0.0075
-1.0064e-01,0.39,0.32,-0.05,0.0055
-1.0062e-01,0.39,0.32,-0.05,-0.0025
-1.0061e-01,0.39,0.36,-0.09,0.0015
-1.0059e-01,0.43,0.36,-0.05,0.0015
-1.0058e-01,0.39,0.32,-0.05,-0.000499995
-1.0056e-01,0.39,0.36,-0.05,-0.000499995
-1.0054e-01,0.39,0.36,-0.01,-0.000499995
-1.0053e-01,0.35,0.32,-0.09,-0.000499995
-1.0051e-01,0.39,0.4,-0.05,-0.000499995
-1.0050e-01,0.39,0.32,-0.05,-0.000499995
-1.0048e-01,0.39,0.4,-0.09,-0.000499995
-1.0046e-01,0.39,0.32,-0.05,-0.0025
-1.0045e-01,0.39,0.36,-0.05,-0.000499995
-1.0043e-01,0.39,0.32,-0.01,-0.000499995
-1.0042e-01,0.39,0.36,-0.05,-0.000499995
-1.0040e-01,0.39,0.32,-0.05,-0.000499995
-1.0038e-01,0.39,0.36,-0.05,-0.000499995
-1.0037e-01,0.39,0.36,-0.01,-0.000499995
-1.0035e-01,0.39,0.36,-0.05,-0.000499995
-1.0034e-01,0.39,0.36,-0.05,-0.000499995
-1.0032e-01,0.39,0.36,-0.01,-0.000499995
-1.0030e-01,0.39,0.36,-0.05,-0.000499995
-1.0029e-01,0.39,0.36,-0.05,-0.000499995
-1.0027e-01,0.39,0.36,-0.05,-0.000499995
-1.0026e-01,0.39,0.36,-0.01,-0.000499995
-1.0024e-01,0.39,0.36,-0.05,-0.000499995
-1.0022e-01,0.39,0.36,-0.05,-0.000499995
-1.0021e-01,0.35,0.36,-0.05,-0.000499995
-1.0019e-01,0.39,0.36,0.11,-0.0025
-1.0018e-01,0.39,0.36,0.11,0.0075
-1.0016e-01,0.39,0.32,0.11,0.0075
-1.0014e-01,0.43,0.36,0.07,0.0035
-1.0013e-01,0.39,0.32,0.11,0.0035
-1.0011e-01,0.39,0.32,0.11,0.0035
-1.0010e-01,0.39,0.32,0.11,0.0055
-1.0008e-01,0.35,0.36,0.11,0.0055
-1.0006e-01,0.39,0.36,0.11,0.0035
-1.0005e-01,0.39,0.36,0.11,0.0055
-1.0003e-01,0.39,0.36,0.11,0.0055
-1.0002e-01,0.39,0.36,0.11,0.0055
-1.0000e-01,0.43,0.32,0.07,0.0055
-9.9984e-02,0.39,0.36,0.11,0.0055
-9.9968e-02,0.39,0.4,0.11,0.0035
-9.9952e-02,0.39,0.36,0.11,0.0055
-9.9936e-02,0.39,0.32,0.11,0.0055
-9.9920e-02,0.35,0.32,0.11,0.0055
-9.9904e-02,0.39,0.36,0.07,0.0055
-9.9888e-02,0.35,0.36,0.11,0.0055
-9.9872e-02,0.39,0.36,0.07,0.0055
-9.9856e-02,0.39,0.36,0.11,0.0055
-9.9840e-02,0.39,0.36,0.07,0.0055
-9.9824e-02,0.39,0.32,0.11,0.0055
-9.9808e-02,0.39,0.36,0.11,0.0055
-9.9792e-02,0.39,0.36,0.07,0.0035
-9.9776e-02,0.39,0.32,0.07,0.0055
-9.9760e-02,0.39,0.32,0.11,0.0035
-9.9744e-02,0.35,0.36,0.07,0.0055
-9.9728e-02,0.35,0.36,0.11,0.0055
-9.9712e-02,0.35,0.36,0.11,0.0055
-9.9696e-02,0.39,0.36,0.07,0.0035
-9.9680e-02,0.39,0.36,0.11,0.0055
-9.9664e-02,0.39,0.36,0.11,0.0055
-9.9648e-02,0.35,0.36,0.11,0.0055
-9.9632e-02,0.39,0.4,0.11,0.0055
-9.9616e-02,0.39,0.36,0.07,0.0055
-9.9600e-02,0.39,0.36,0.11,0.0055
-9.9584e-02,0.39,0.36,0.07,0.0055
-9.9568e-02,0.35,0.36,0.11,0.0055
-9.9552e-02,0.39,0.36,0.07,0.0055
-9.9536e-02,0.35,0.4,0.11,0.0055
-9.9520e-02,0.35,0.36,0.11,0.0055
-9.9504e-02,0.39,0.32,0.07,0.0055
-9.9488e-02,0.39,0.36,0.11,0.0055
-9.9472e-02,0.39,0.36,0.07,0.0055
-9.9456e-02,0.35,0.36,0.07,0.0055
-9.9440e-02,0.39,0.36,-0.09,0.0055
-9.9424e-02,0.39,0.36,-0.05,-0.0065
-9.9408e-02,0.39,0.36,-0.05,0.0015
-9.9392e-02,0.39,0.32,-0.05,-0.000499995
-9.9376e-02,0.39,0.32,-0.05,0.0015
-9.9360e-02,0.39,0.36,-0.05,-0.000499995
-9.9344e-02,0.43,0.36,-0.05,-0.000499995
-9.9328e-02,0.39,0.36,-0.01,-0.000499995
-9.9312e-02,0.39,0.36,-0.05,-0.000499995
-9.9296e-02,0.39,0.36,-0.05,0.0015
-9.9280e-02,0.35,0.4,-0.05,-0.000499995
-9.9264e-02,0.39,0.36,-0.05,0.0015
-9.9248e-02,0.39,0.36,-0.05,-0.000499995
-9.9232e-02,0.35,0.36,-0.05,-0.0025
-9.9216e-02,0.39,0.36,-0.05,-0.000499995
-9.9200e-02,0.39,0.32,-0.05,-0.000499995
-9.9184e-02,0.39,0.36,-0.05,-0.0025
-9.9168e-02,0.39,0.36,-0.05,-0.000499995
-9.9152e-02,0.39,0.36,-0.05,-0.000499995
-9.9136e-02,0.39,0.36,-0.05,-0.000499995
-9.9120e-02,0.39,0.36,-0.05,-0.0025
-9.9104e-02,0.43,0.36,-0.05,-0.000499995
-9.9088e-02,0.39,0.36,-0.05,-0.000499995
-9.9072e-02,0.39,0.36,-0.05,-0.000499995
-9.9056e-02,0.43,0.36,-0.05,-0.0025
-9.9040e-02,0.35,0.36,-0.05,-0.000499995
-9.9024e-02,0.39,0.36,-0.05,-0.000499995
-9.9008e-02,0.39,0.4,-0.05,-0.000499995
-9.8992e-02,0.39,0.36,-0.05,-0.000499995
-9.8976e-02,0.43,0.36,-0.09,-0.000499995
-9.8960e-02,0.39,0.36,-0.01,-0.000499995
-9.8944e-02,0.39,0.36,-0.05,-0.000499995
-9.8928e-02,0.43,0.36,-0.01,-0.000499995
-9.8912e-02,0.39,0.36,-0.05,-0.000499995
-9.8896e-02,0.39,0.36,-0.05,-0.000499995
-9.8880e-02,0.39,0.36,-0.05,-0.000499995
-9.8864e-02,0.43,0.36,-0.05,-0.000499995
-9.8848e-02,0.39,0.36,-0.05,-0.000499995
-9.8832e-02,0.39,0.4,-0.01,-0.000499995
-9.8816e-02,0.39,0.36,-0.05,-0.000499995
-9.8800e-02,0.39,0.36,-0.05,-0.000499995
-9.8784e-02,0.39,0.36,-0.09,-0.000499995
-9.8768e-02,0.39,0.36,-0.05,-0.0025
-9.8752e-02,0.39,0.36,-0.05,-0.000499995
-9.8736e-02,0.39,0.36,-0.05,-0.000499995
-9.8720e-02,0.39,0.36,-0.05,0.0015
-9.8704e-02,0.43,0.36,-0.01,-0.000499995
-9.8688e-02,0.39,0.36,-0.05,-0.000499995
-9.8672e-02,0.39,0.36,-0.01,-0.000499995
-9.8656e-02,0.39,0.36,-0.05,-0.000499995
-9.8640e-02,0.35,0.36,-0.05,-0.000499995
-9.8624e-02,0.39,0.36,-0.01,-0.000499995
-9.8608e-02,0.39,0.36,-0.05,-0.000499995
-9.8592e-02,0.39,0.36,-0.17,0.0015
-9.8576e-02,0.39,0.4,-0.17,-0.0085
-9.8560e-02,0.39,0.4,-0.17,-0.0025
-9.8544e-02,0.43,0.36,-0.17,-0.0065
-9.8528e-02,0.39,0.32,-0.17,-0.0065
-9.8512e-02,0.39,0.36,-0.17,-0.0045
-9.8496e-02,0.39,0.36,-0.17,-0.0045
-9.8480e-02,0.39,0.32,-0.21,-0.0065
-9.8464e-02,0.39,0.36,-0.17,-0.0045
-9.8448e-02,0.39,0.32,-0.17,-0.0045
-9.8432e-02,0.39,0.4,-0.17,-0.0045
-9.8416e-02,0.43,0.36,-0.17,-0.0045
-9.8400e-02,0.39,0.36,-0.17,-0.0045
-9.8384e-02,0.39,0.32,-0.17,-0.0065
-9.8368e-02,0.39,0.36,-0.17,-0.0045
-9.8352e-02,0.39,0.4,-0.13,-0.0065
-9.8336e-02,0.39,0.36,-0.17,-0.0045
-9.8320e-02,0.39,0.4,-0.17,-0.0065
-9.8304e-02,0.39,0.36,-0.17,-0.0045
-9.8288e-02,0.43,0.36,-0.17,-0.0065
-9.8272e-02,0.39,0.4,-0.17,-0.0065
-9.8256e-02,0.39,0.36,-0.17,-0.0045
-9.8240e-02,0.39,0.36,-0.17,-0.0065
-9.8224e-02,0.43,0.36,-0.17,-0.0065
-9.8208e-02,0.39,0.36,-0.17,-0.0045
-9.8192e-02,0.39,0.36,-0.17,-0.0065
-9.8176e-02,0.39,0.36,-0.17,-0.0045
-9.8160e-02,0.39,0.36,-0.17,-0.0045
-9.8144e-02,0.39,0.36,-0.21,-0.0045
-9.8128e-02,0.39,0.36,-0.17,-0.0045
-9.8112e-02,0.39,0.36,-0.17,-0.0065
-9.8096e-02,0.39,0.36,-0.17,-0.0045
-9.8080e-02,0.39,0.36,-0.17,-0.0065
-9.8064e-02,0.43,0.4,-0.17,-0.0065
-9.8048e-02,0.35,0.36,-0.17,-0.0045
-9.8032e-02,0.39,0.32,-0.17,-0.0045
-9.8016e-02,0.39,0.4,-0.17,-0.0065
-9.8000e-02,0.39,0.36,-0.17,-0.0065
-9.7984e-02,0.39,0.36,-0.17,-0.0045
-9.7968e-02,0.39,0.32,-0.17,-0.0045
-9.7952e-02,0.39,0.36,-0.17,-0.0065
-9.7936e-02,0.39,0.36,-0.17,-0.0045
-9.7920e-02,0.39,0.36,-0.17,-0.0065
-9.7904e-02,0.39,0.36,-0.17,-0.0045
-9.7888e-02,0.39,0.36,-0.05,-0.0165
-9.7872e-02,0.39,0.36,-0.01,0.0015
-9.7856e-02,0.39,0.36,-0.09,-0.0045
-9.7840e-02,0.39,0.36,-0.05,0.0015
-9.7824e-02,0.39,0.4,-0.01,-0.000499995
-9.7808e-02,0.39,0.36,-0.05,-0.000499995
-9.7792e-02,0.39,0.36,-0.05,-0.000499995
-9.7776e-02,0.43,0.36,-0.05,-0.000499995
-9.7760e-02,0.39,0.32,-0.01,-0.000499995
-9.7744e-02,0.35,0.32,-0.05,-0.000499995
-9.7728e-02,0.39,0.36,-0.05,-0.000499995
-9.7712e-02,0.39,0.36,-0.05,-0.000499995
-9.7696e-02,0.35,0.32,-0.05,-0.000499995
-9.7680e-02,0.39,0.36,-0.05,-0.000499995
-9.7664e-02,0.39,0.36,-0.05,-0.000499995
-9.7648e-02,0.39,0.36,-0.05,-0.000499995
-9.7632e-02,0.39,0.36,-0.05,0.0015
-9.7616e-02,0.39,0.36,-0.05,-0.000499995
-9.7600e-02,0.39,0.36,-0.05,-0.0025
-9.7584e-02,0.39,0.36,-0.05,-0.000499995
-9.7568e-02,0.39,0.32,-0.05,-0.000499995
-9.7552e-02,0.35,0.32,-0.05,-0.000499995
-9.7536e-02,0.39,0.36,-0.05,-0.000499995
-9.7520e-02,0.39,0.4,-0.05,-0.000499995
-9.7504e-02,0.39,0.36,-0.05,-0.0025
-9.7488e-02,0.39,0.36,-0.05,-0.000499995
-9.7472e-02,0.39,0.36,-0.01,-0.000499995
-9.7456e-02,0.43,0.36,-0.05,-0.000499995
-9.7440e-02,0.39,0.36,-0.05,-0.0025
-9.7424e-02,0.39,0.36,-0.05,-0.000499995
-9.7408e-02,0.39,0.32,-0.05,-0.000499995
-9.7392e-02,0.39,0.36,-0.05,-0.000499995
-9.7376e-02,-0.00999995,0.36,-0.33,-0.0065
-9.7360e-02,-0.00999995,0.36,-0.29,-0.0105
-9.7344e-02,-0.05,0.36,-0.29,-0.0105
-9.7328e-02,-0.05,0.36,-0.33,-0.0105
-9.7312e-02,-0.00999995,0.36,-0.33,-0.0105
-9.7296e-02,-0.00999995,0.4,-0.29,-0.0105
-9.7280e-02,-0.00999995,0.36,-0.45,-0.0105
-9.7264e-02,-0.00999995,0.36,-0.45,-0.0205
-9.7248e-02,-0.00999995,0.36,-0.45,-0.0145
-9.7232e-02,-0.00999995,0.36,-0.49,-0.0165
-9.7216e-02,-0.05,0.32,-0.45,-0.0145
